date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,population
2020-03-08,2,2,0.29,0,0,37457976
2020-03-09,2,0,0.29,0,0,37457976
2020-03-10,2,0,0.29,0,0,37457976
2020-03-11,2,0,0.29,0,0,37457976
2020-03-12,2,0,0.29,0,0,37457976
2020-03-13,2,0,0.29,0,0,37457976
2020-03-14,2,0,0.29,0,0,37457976
2020-03-15,17,15,2.14,1,1,37457976
2020-03-16,17,0,2.14,1,0,37457976
2020-03-17,17,0,2.14,1,0,37457976
2020-03-18,17,0,2.14,1,0,37457976
2020-03-19,17,0,2.14,1,0,37457976
2020-03-20,17,0,2.14,1,0,37457976
2020-03-21,17,0,2.14,1,0,37457976
2020-03-22,96,79,11.29,3,2,37457976
2020-03-23,96,0,11.29,3,0,37457976
2020-03-24,96,0,11.29,3,0,37457976
2020-03-25,96,0,11.29,3,0,37457976
2020-03-26,96,0,11.29,3,0,37457976
2020-03-27,96,0,11.29,3,0,37457976
2020-03-28,96,0,11.29,3,0,37457976
2020-03-29,390,294,42.0,25,22,37457976
2020-03-30,390,0,42.0,25,0,37457976
2020-03-31,390,0,42.0,25,0,37457976
2020-04-01,390,0,42.0,25,0,37457976
2020-04-02,390,0,42.0,25,0,37457976
2020-04-03,390,0,42.0,25,0,37457976
2020-04-04,390,0,42.0,25,0,37457976
2020-04-05,919,529,75.57,59,34,37457976
2020-04-06,919,0,75.57,59,0,37457976
2020-04-07,919,0,75.57,59,0,37457976
2020-04-08,919,0,75.57,59,0,37457976
2020-04-09,919,0,75.57,59,0,37457976
2020-04-10,919,0,75.57,59,0,37457976
2020-04-11,919,0,75.57,59,0,37457976
2020-04-12,1545,626,89.43,111,52,37457976
2020-04-13,1545,0,89.43,111,0,37457976
2020-04-14,1545,0,89.43,111,0,37457976
2020-04-15,1545,0,89.43,111,0,37457976
2020-04-16,1545,0,89.43,111,0,37457976
2020-04-17,1545,0,89.43,111,0,37457976
2020-04-18,1545,0,89.43,111,0,37457976
2020-04-19,2685,1140,162.86,137,26,37457976
2020-04-20,2685,0,162.86,137,0,37457976
2020-04-21,2685,0,162.86,137,0,37457976
2020-04-22,2685,0,162.86,137,0,37457976
2020-04-23,2685,0,162.86,137,0,37457976
2020-04-24,2685,0,162.86,137,0,37457976
2020-04-25,2685,0,162.86,137,0,37457976
2020-04-26,3897,1212,173.14,159,22,37457976
2020-04-27,3897,0,173.14,159,0,37457976
2020-04-28,3897,0,173.14,159,0,37457976
2020-04-29,3897,0,173.14,159,0,37457976
2020-04-30,3897,0,173.14,159,0,37457976
2020-05-01,3897,0,173.14,159,0,37457976
2020-05-02,3897,0,173.14,159,0,37457976
2020-05-03,4729,832,118.86,173,14,37457976
2020-05-04,4729,0,118.86,173,0,37457976
2020-05-05,4729,0,118.86,173,0,37457976
2020-05-06,4729,0,118.86,173,0,37457976
2020-05-07,4729,0,118.86,173,0,37457976
2020-05-08,4729,0,118.86,173,0,37457976
2020-05-09,4729,0,118.86,173,0,37457976
2020-05-10,5910,1181,168.71,186,13,37457976
2020-05-11,5910,0,168.71,186,0,37457976
2020-05-12,5910,0,168.71,186,0,37457976
2020-05-13,5910,0,168.71,186,0,37457976
2020-05-14,5910,0,168.71,186,0,37457976
2020-05-15,5910,0,168.71,186,0,37457976
2020-05-16,5910,0,168.71,186,0,37457976
2020-05-17,6741,831,118.71,192,6,37457976
2020-05-18,6741,0,118.71,192,0,37457976
2020-05-19,6741,0,118.71,192,0,37457976
2020-05-20,6741,0,118.71,192,0,37457976
2020-05-21,6741,0,118.71,192,0,37457976
2020-05-22,6741,0,118.71,192,0,37457976
2020-05-23,6741,0,118.71,192,0,37457976
2020-05-24,7406,665,95.0,198,6,37457976
2020-05-25,7406,0,95.0,198,0,37457976
2020-05-26,7406,0,95.0,198,0,37457976
2020-05-27,7406,0,95.0,198,0,37457976
2020-05-28,7406,0,95.0,198,0,37457976
2020-05-29,7406,0,95.0,198,0,37457976
2020-05-30,7406,0,95.0,198,0,37457976
2020-05-31,7780,374,53.43,204,6,37457976
2020-06-01,7780,0,53.43,204,0,37457976
2020-06-02,7780,0,53.43,204,0,37457976
2020-06-03,7780,0,53.43,204,0,37457976
2020-06-04,7780,0,53.43,204,0,37457976
2020-06-05,7780,0,53.43,204,0,37457976
2020-06-06,7780,0,53.43,204,0,37457976
2020-06-07,8151,371,53.0,208,4,37457976
2020-06-08,8151,0,53.0,208,0,37457976
2020-06-09,8151,0,53.0,208,0,37457976
2020-06-10,8151,0,53.0,208,0,37457976
2020-06-11,8151,0,53.0,208,0,37457976
2020-06-12,8151,0,53.0,208,0,37457976
2020-06-13,8151,0,53.0,208,0,37457976
2020-06-14,8692,541,77.29,212,4,37457976
2020-06-15,8692,0,77.29,212,0,37457976
2020-06-16,8692,0,77.29,212,0,37457976
2020-06-17,8692,0,77.29,212,0,37457976
2020-06-18,8692,0,77.29,212,0,37457976
2020-06-19,8692,0,77.29,212,0,37457976
2020-06-20,8692,0,77.29,212,0,37457976
2020-06-21,9839,1147,163.86,213,1,37457976
2020-06-22,9839,0,163.86,213,0,37457976
2020-06-23,9839,0,163.86,213,0,37457976
2020-06-24,9839,0,163.86,213,0,37457976
2020-06-25,9839,0,163.86,213,0,37457976
2020-06-26,9839,0,163.86,213,0,37457976
2020-06-27,9839,0,163.86,213,0,37457976
2020-06-28,11877,2038,291.14,220,7,37457976
2020-06-29,11877,0,291.14,220,0,37457976
2020-06-30,11877,0,291.14,220,0,37457976
2020-07-01,11877,0,291.14,220,0,37457976
2020-07-02,11877,0,291.14,220,0,37457976
2020-07-03,11877,0,291.14,220,0,37457976
2020-07-04,11877,0,291.14,220,0,37457976
2020-07-05,13822,1945,277.86,232,12,37457976
2020-07-06,13822,0,277.86,232,0,37457976
2020-07-07,13822,0,277.86,232,0,37457976
2020-07-08,13822,0,277.86,232,0,37457976
2020-07-09,13822,0,277.86,232,0,37457976
2020-07-10,13822,0,277.86,232,0,37457976
2020-07-11,13822,0,277.86,232,0,37457976
2020-07-12,15542,1720,245.71,245,13,37457976
2020-07-13,15542,0,245.71,245,0,37457976
2020-07-14,15542,0,245.71,245,0,37457976
2020-07-15,15542,0,245.71,245,0,37457976
2020-07-16,15542,0,245.71,245,0,37457976
2020-07-17,15542,0,245.71,245,0,37457976
2020-07-18,15542,0,245.71,245,0,37457976
2020-07-19,17015,1473,210.43,269,24,37457976
2020-07-20,17015,0,210.43,269,0,37457976
2020-07-21,17015,0,210.43,269,0,37457976
