t,S,E,I,R
0,37456175.0,1507.3,0.0,293.7
1,37455842.6,1546.0,293.7,293.7
2,37455510.2,1584.7,587.4,293.7
3,37455177.7,1623.4,881.1,293.7
4,37454845.3,1662.1,1174.8,293.7
5,37454512.9,1662.1,1507.3,293.7
6,37454180.4,1662.1,1839.7,293.7
7,37453834.0,1676.1,2172.1,293.7
8,37453487.6,1690.1,2504.6,293.7
9,37453141.2,1704.2,2837.0,293.7
10,37452794.7,1718.2,3169.4,293.7
11,37452448.3,1732.2,3208.1,587.4
12,37452101.9,1732.2,3260.9,881.1
13,37451755.4,1732.2,3313.6,1174.8
14,37451363.6,1777.6,3366.3,1468.6
15,37450971.7,1823.0,3380.3,1801.0
16,37450579.9,1868.4,3394.3,2133.4
17,37450188.0,1913.9,3408.3,2465.8
18,37449796.1,1959.3,3422.3,2798.3
19,37449404.3,1959.3,3481.7,3130.7
20,37449012.4,1959.3,3541.2,3463.1
21,37448603.7,1976.1,3600.6,3795.6
22,37448195.0,1993.0,3646.0,4142.0
23,37447786.3,2009.8,3691.4,4488.4
24,37447377.6,2026.7,3736.9,4834.8
25,37446968.9,2043.5,3782.3,5181.3
26,37446560.2,2043.5,3844.6,5527.7
27,37446151.4,2043.5,3906.9,5874.1
28,37445477.0,2309.3,3969.1,6220.6
29,37444802.6,2575.0,3986.0,6612.4
30,37444128.2,2840.7,4002.8,7004.3
31,37443453.7,3106.4,4019.7,7396.2
32,37442779.3,3372.2,4036.5,7788.0
33,37442104.9,3372.2,4319.1,8179.9
34,37441430.4,3372.2,4601.7,8571.7
35,37440364.7,3763.4,4884.3,8963.6
36,37439299.0,4154.7,5150.0,9372.3
37,37438233.3,4546.0,5415.7,9781.0
38,37437167.6,4937.3,5681.4,10189.7
39,37436101.9,5328.5,5947.1,10598.4
40,37435036.2,5328.5,6604.1,11007.1
41,37433970.5,5328.5,7261.1,11415.8
42,37431958.6,6274.7,7918.1,11824.6
43,37429946.7,7220.8,8309.4,12499.0
44,37427934.9,8167.0,8700.7,13173.4
45,37425923.0,9113.2,9092.0,13847.8
46,37423911.2,10059.3,9483.3,14522.3
47,37421899.3,10059.3,10820.7,15196.7
48,37419887.4,10059.3,12158.1,15871.1
49,37417076.9,10858.0,13495.5,16545.6
50,37414266.3,11656.7,14441.7,17611.3
51,37411455.7,12455.4,15387.8,18677.0
52,37408645.2,13254.1,16334.0,19742.7
53,37405834.6,14052.8,17280.1,20808.4
54,37403024.0,14052.8,19025.0,21874.1
